No.,프로파일 이름,응답시간 (ms),패키지,클래스,API
0000,"service(ServletRequest,ServletResponse): void",10813,javax.servlet.http,HttpServlet,
0001,ajp-worker task-5968[3afc1],0,,,
,Not Profiled,3,,,
0002,DB_OPEN_CONNECTION (jboss/tiberoDS = 1627598142),0,,,
0003,DB_SET_AUTO_COMMIT_FALSE,0,,,
0004,DB_OPEN_CONNECTION (jboss/tiberoDS = 1352604512),0,,,
,Not Profiled,1,,,
0005,"SELECT      	/*+  leading( CMC UMD ) use_nl( UMD  CMC UMDF CECEC  CEC  CECP ANZE )  */     	COUNT(#) 			 		FROM 						UDRS_MEAS_DATA UMD, 						CONT_MEAS_CONTRACT CMC, 						UDRS_MEAS_DATA_FAC UMDF, 						CONT_MEAS_CONTRACT_EMIS_CMPY CECEC, 						COMM_EMIS_CMPY CEC, 						COMM_EMIS_CMPY_PLC CECP, 						UDRS_ANZE_DATA ANZE 						,(SELECT count(#) rcnt, sum(CASE WHEN ss.acnt &gt; # THEN # ELSE # END) acnt, ss.anze_no  							 from ( SELECT sum(CASE WHEN samp.auto_yn = &apos;$&apos; THEN # ELSE # E...",944,,,
0006,FETCH [1/1],0,,,
,Not Profiled,1,,,
0007,"SELECT *  		FROM ( 			SELECT  				TB.ANZE_OBEY_YN, 				ROW_NUMBER() OVER (	ORDER BY MANL_MEAS_NO DESC, TB.MANL_MEAS_NO DESC) NUMROW, 				TB.BTN_COPY, 				TB.MEAS_CONT_NO, 				TB.MEAS_PLAN_NO, 				TB.MEAS_CATE, 				TB.MEAS_CATE_NM, 				TB.MEAS_START_DT, 				TB.SMPL_CTOR_LIST_NM, 				TB.MEAS_ITEM_LIST_NM, 				TB.EMIS_FAC_NO, 				TB.EMIS_CMPY_NAME, 				TB.EMIS_CMPY_PLC_NAME, 				TB.EMIS_CMPY_ADDR, 				TB.MEAS_PURPOSE, 				TB.MEAS_PURPOSE_NM, 				TB.EMIS_FAC_NAME, 				TB.MEAS_EQUIP_NO_LIST, 				TB.M...",9853,,,
,STACK-TRACE [1],0,,,
,Not Profiled,3,,,
0008,FETCH [20/21] [3 ms],0,,,
0009,DB_CLOSE_CONNECTION (jboss/tiberoDS = 1352604512),0,,,
0010,DB_COMMIT,0,,,
,Not Profiled,1,,,
0011,DB_CLOSE_CONNECTION (jboss/tiberoDS = 1627598142),0,,,
,Not Profiled,7,,,
